Date,NDX,AAPL,MSFT,NVDA,PEP
2015-01-02,4230.240234375,24.192602157592773,39.68174362182617,0.48242294788360596,66.58293151855469
2015-01-05,4160.9599609375,23.511056900024414,39.316829681396484,0.47427478432655334,66.0823745727539
2015-01-06,4110.830078125,23.51326560974121,38.739768981933594,0.4598955810070038,65.58179473876953
2015-01-07,4160.0,23.842979431152344,39.231971740722656,0.4586971402168274,67.49942779541016
2015-01-08,4240.5498046875,24.759082794189453,40.386104583740234,0.4759523868560791,68.72621154785156
2015-01-09,4213.27978515625,24.785634994506836,40.046661376953125,0.47786957025527954,68.2608871459961
2015-01-12,4169.97021484375,24.174901962280273,39.54595947265625,0.4718782305717468,67.9788818359375
2015-01-13,4166.2001953125,24.38953971862793,39.34228515625,0.4711591601371765,67.92952728271484
2015-01-14,4145.83984375,24.296611785888672,39.002845764160156,0.4730765223503113,68.15515899658203
2015-01-15,4089.64990234375,23.637191772460938,38.59548568725586,0.46972140669822693,68.15515899658203
2015-01-16,4142.14013671875,23.453523635864258,39.2404670715332,0.4783490002155304,68.59223175048828
2015-01-20,4171.2099609375,24.057621002197266,39.367759704589844,0.4797869324684143,68.74735260009766
2015-01-21,4192.08984375,24.24127960205078,38.96889114379883,0.48649704456329346,68.6698226928711
2015-01-22,4270.35986328125,24.871931076049805,39.995731353759766,0.49488508701324463,69.72736358642578
2015-01-23,4278.14013671875,25.000276565551758,40.03815460205078,0.49632301926612854,69.46650695800781
2015-01-26,4275.72021484375,25.02682876586914,39.89390182495117,0.49416619539260864,69.5793228149414
2015-01-27,4165.5,24.150558471679688,36.20237731933594,0.4704402983188629,68.19039154052734
2015-01-28,4140.3798828125,25.515865325927734,34.95488739013672,0.46277138590812683,67.4853744506836
2015-01-29,4181.35009765625,26.310260772705078,35.650753021240234,0.4740351736545563,67.70390319824219
2015-01-30,4148.43017578125,25.925230026245117,34.284481048583984,0.46013516187667847,66.11761474609375
2015-02-02,4188.58984375,26.250516891479492,35.03127670288086,0.47020068764686584,67.2104263305664
2015-02-03,4229.14990234375,26.254932403564453,35.30283737182617,0.48194369673728943,67.82376861572266
2015-02-04,4221.2001953125,26.456300735473633,35.506507873535156,0.4831419885158539,68.10578918457031
2015-02-05,4256.18017578125,26.64513397216797,36.024173736572266,0.4910503923892975,68.11286926269531
2015-02-06,4228.68017578125,26.420753479003906,35.99021911621094,0.48889362812042236,68.183349609375
2015-02-09,4216.08984375,26.596261978149414,35.94778060913086,0.48841431736946106,67.66162109375
2015-02-10,4281.16015625,27.107206344604492,36.15146255493164,0.502074658870697,69.0857925415039
2015-02-11,4297.27978515625,27.74258041381836,35.964752197265625,0.4987194240093231,70.78490447998047
2015-02-12,4347.97021484375,28.09358024597168,36.567283630371094,0.5344278216362,70.6932373046875
2015-02-13,4384.02978515625,28.231307983398438,37.22921371459961,0.5346675515174866,69.88951110839844
2015-02-17,4385.33984375,28.397932052612305,37.246307373046875,0.5363450646400452,69.34664154052734
2015-02-18,4390.91015625,28.595645904541016,37.203575134277344,0.530113935470581,70.030517578125
2015-02-19,4411.85986328125,28.535667419433594,37.177940368652344,0.5315520167350769,69.6004638671875
2015-02-20,4443.0498046875,28.76892852783203,37.48561096191406,0.5353865027427673,69.84015655517578
2015-02-23,4449.490234375,29.546470642089844,37.733463287353516,0.531072735786438,70.1151123046875
2015-02-24,4451.02978515625,29.362075805664062,37.68218231201172,0.536726176738739,70.20677185058594
2015-02-25,4440.58984375,28.61119270324707,37.596710205078125,0.5326364636421204,70.15037536621094
2015-02-26,4462.27001953125,28.973308563232422,37.656551361083984,0.5340800285339355,69.84720611572266
2015-02-27,4440.669921875,28.537891387939453,37.47705841064453,0.5307118892669678,69.78376770019531
2015-03-02,4483.0498046875,28.67784309387207,37.502689361572266,0.5437029600143433,69.79784393310547
2015-03-03,4458.77978515625,28.737817764282227,36.98989486694336,0.5335986614227295,69.37483215332031
2015-03-04,4445.35986328125,28.555662155151367,36.8018798828125,0.5396133661270142,69.1015853881836
2015-03-05,4452.06005859375,28.082475662231445,36.84461212158203,0.5499579310417175,69.00932312011719
2015-03-06,4399.22998046875,28.12468147277832,36.2036018371582,0.5425001382827759,68.2569808959961
2015-03-09,4412.990234375,28.24463653564453,36.622406005859375,0.5439435839653015,68.16471862792969
2015-03-10,4329.080078125,27.660375595092773,35.92158508300781,0.5533260703086853,67.02198791503906
2015-03-11,4305.3798828125,27.156089782714844,35.87883758544922,0.5504391193389893,66.4542007446289
2015-03-12,4336.22998046875,27.647045135498047,35.0583610534668,0.5453872084617615,67.93048095703125
2015-03-13,4314.89990234375,27.45599937438965,35.366050720214844,0.5461086630821228,66.94391632080078
2015-03-16,4370.47021484375,27.758121490478516,35.5198974609375,0.5526041984558105,67.74595642089844
2015-03-17,4375.6298828125,28.222429275512695,35.6395378112793,0.5593404173851013,66.80908203125
2015-03-18,4422.5,28.540109634399414,36.32328414916992,0.550198495388031,67.1710433959961
2015-03-19,4426.81982421875,28.324617385864258,36.143775939941406,0.5586190223693848,66.78778076171875
2015-03-20,4458.5400390625,27.96917152404785,36.64804458618164,0.5646331310272217,67.66788482666016
2015-03-23,4445.5400390625,28.26019859313965,36.63094711303711,0.5463491678237915,68.02983856201172
2015-03-24,4430.990234375,28.144672393798828,36.665130615234375,0.5388914346694946,68.03694915771484
2015-03-25,4329.2900390625,27.409347534179688,35.434417724609375,0.5061730742454529,67.6111068725586
2015-03-26,4315.259765625,27.600399017333984,35.22074890136719,0.5044890642166138,67.87371826171875
2015-03-27,4332.85986328125,27.38045883178711,35.01563262939453,0.5143527388572693,68.10083770751953
2015-03-30,4382.81982421875,28.073589324951172,35.007083892822266,0.5165178775787354,68.50537872314453
2015-03-31,4333.68994140625,27.64260482788086,34.750694274902344,0.5035265684127808,67.86660766601562
2015-04-01,4311.259765625,27.60262107849121,34.80196762084961,0.5054513216018677,67.49046325683594
2015-04-02,4316.009765625,27.84032440185547,34.4344596862793,0.5066542625427246,67.91630554199219
2015-04-06,4350.97998046875,28.291297912597656,35.511329650878906,0.5213295221328735,68.47702026367188
2015-04-07,4344.080078125,27.993608474731445,35.49424743652344,0.5259001851081848,68.28536224365234
2015-04-08,4375.9599609375,27.902524948120117,35.40022277832031,0.5297494530677795,68.15760040283203
2015-04-09,4403.9501953125,28.11579132080078,35.451499938964844,0.5420190691947937,68.38472747802734
2015-04-10,4422.02001953125,28.23575782775879,35.65663146972656,0.5475524067878723,68.27826690673828
2015-04-13,4409.2099609375,28.180217742919922,35.690818786621094,0.5425001382827759,67.80274963378906
2015-04-14,4397.64013671875,28.05803680419922,35.5968017578125,0.537929117679596,68.48410034179688
2015-04-15,4424.52978515625,28.1646728515625,36.11814498901367,0.5444245338439941,68.5834732055664
2015-04-16,4418.830078125,28.02915382385254,36.03266906738281,0.5410568118095398,68.4557113647461
2015-04-17,4351.7998046875,27.71369743347168,35.57115173339844,0.5340800285339355,68.00147247314453
2015-04-20,4417.39990234375,28.346837997436523,36.673675537109375,0.5314337611198425,68.49118041992188
2015-04-21,4435.97998046875,28.19354820251465,36.44291687011719,0.5307118892669678,68.68992614746094
2015-04-22,4460.81005859375,28.57342529296875,36.74205017089844,0.536726176738739,69.0447998046875
2015-04-23,4477.06982421875,28.806684494018555,37.04118728637695,0.5345611572265625,67.94467163085938
2015-04-24,4536.77978515625,28.94220542907715,40.91281509399414,0.5299900770187378,67.5472412109375
2015-04-27,4525.0400390625,29.468708038330078,41.049560546875,0.5340800285339355,67.06459045410156
2015-04-28,4515.27001953125,29.00440216064453,42.015323638916016,0.536726176738739,67.01492309570312
2015-04-29,4488.14990234375,28.57787322998047,41.929874420166016,0.5326364636421204,66.9865493774414
2015-04-30,4414.25,27.80255889892578,41.57091522216797,0.5340800285339355,67.51171112060547
2015-05-01,4479.06005859375,28.646738052368164,41.588008880615234,0.5473116636276245,67.82403564453125
2015-05-04,4482.60986328125,28.591209411621094,41.22905349731445,0.5439435839653015,68.10083770751953
2015-05-05,4409.39013671875,27.94695472717285,40.68206024169922,0.5299900770187378,67.72467041015625
2015-05-06,4379.75,27.771451950073242,39.553897857666016,0.5316742062568665,67.76725006103516
